slug,target_money_page,current_primary_phrase,proposed_primary_phrase,meta_length,phrase_meta_overlap,needs_primary_phrase,needs_primary_repair,needs_meta_review
"what-should-you-know-about-business-loan-for-daycare","/best/best-small-business-loans/","","What should you know about business loan for daycare?",145,0.5,true,false,false
"what-should-you-know-about-minimum-credit-score-for-business-loan","/best/best-bad-credit-business-loans/","","What should you know about minimum credit score for business loan?",147,0.63,true,false,false
"what-should-you-know-about-small-business-line-of-credit-requirements","/best/best-business-lines-of-credit/","","What should you know about small business line of credit requirements?",152,0.63,true,false,false
"what-should-you-know-about-startup-business-loans-and-grants","/best/best-startup-business-loans/","","What should you know about startup business loans and grants?",142,0.57,true,false,false
"when-to-get-a-business-loan","/best/best-small-business-loans/","","When to get a business loan?",158,1,true,false,false
"when-to-get-a-small-business-loan","/best/best-sba-loans/","","When to get a small business loan?",151,1,true,false,false
"can-i-dispute-student-loans-on-credit-report","/best/best-credit-repair-companies/","","Can I dispute student loans on credit report?",150,1,true,false,false
"do-you-need-collateral-for-a-business-loan","/best/best-small-business-loans/","","Do you need collateral for a business loan?",149,0.5,true,false,false
"does-credit-counseling-hurt-your-credit","/best/best-credit-counseling-agencies/","","Does credit counseling hurt your credit?",142,0.67,true,false,false
"how-long-can-you-get-a-business-loan-for","/best/best-merchant-cash-advance/","","How long can you get a business loan for?",149,0.67,true,false,false
"what-are-the-best-small-business-loans-for-new-businesses","/best/best-startup-business-loans/","","What are the best small business loans for new businesses?",159,0.67,true,false,false
"what-happens-if-you-default-on-an-unsecured-business-loan","/best/best-business-lines-of-credit/","","What happens if you default on an unsecured business loan?",159,0.6,true,false,false
"what-is-a-fintech-business","/best/best-small-business-loans/","","What is a fintech business?",159,1,true,false,false
"what-is-business-cash-advance","/best/best-merchant-cash-advance/","","What is business cash advance?",152,1,true,false,false
"what-is-personal-loan-score-in-cibil","/best/cheapest-personal-loans/","","What is personal loan score in cibil?",145,1,true,false,false
"what-should-you-know-about-business-loan-for-salon","/best/best-small-business-loans/","","What should you know about business loan for salon?",144,1,true,false,false
"what-should-you-know-about-largest-merchant-cash-advance-companies","/best/best-merchant-cash-advance/","","What should you know about largest merchant cash advance companies?",148,0.63,true,false,false
"are-credit-repair-companies-scams","/best/best-credit-repair-companies/","","Are credit repair companies scams?",153,1,true,false,false
"can-i-get-a-business-loan-with-no-income","/best/best-startup-business-loans/","","Can I get a business loan with no income?",153,1,true,false,false
"can-credit-repair-remove-repossession","/best/best-credit-repair-money-back-guarantee/","","Can credit repair remove repossession?",148,1,true,false,false
"can-credit-score-affect-car-insurance","/best/best-credit-monitoring-services/","","Can credit score affect car insurance?",155,0.6,true,false,false
"do-business-loans-require-collateral","/best/best-business-lines-of-credit/","","Do business loans require collateral?",158,1,true,false,false
"how-many-secured-credit-cards-should-i-have","/best/best-secured-credit-cards/","","How many secured credit cards should I have?",142,0.5,true,false,false
"how-much-do-personal-loans-affect-credit-score","/best/best-personal-loans-bad-credit/","","How much do personal loans affect credit score?",145,0.5,true,false,false
"is-a-business-line-of-credit-a-good-idea","/best/best-business-lines-of-credit/","","Is a business line of credit a good idea?",150,0.8,true,false,false
"is-chime-secured-credit-card-good","/best/best-secured-credit-cards/","","Is chime secured credit card good?",146,0.8,true,false,false
"what-should-you-know-about-loans-for-veterans-to-start-a-business","/best/best-startup-business-loans/","","What should you know about loans for veterans to start a business?",153,0.57,true,false,false
"can-i-get-a-loan-for-auto-repair","/best/best-small-business-loans/","","Can I get a loan for auto repair?",142,1,true,false,false
"can-credit-repair-remove-bankruptcies","/best/best-credit-repair-companies/","","Can credit repair remove bankruptcies?",154,0.75,true,false,false
"do-business-loans-check-personal-credit","/best/best-bad-credit-business-loans/","","Do business loans check personal credit?",159,0.8,true,false,false
"do-small-business-loans-require-collateral","/best/best-small-business-loans/","","Do small business loans require collateral?",142,1,true,false,false
"how-does-amex-business-line-of-credit-work","/best/best-business-lines-of-credit/","","How does amex business line of credit work?",159,0.8,true,false,false
"how-to-get-business-funding-with-no-revenue","/best/best-small-business-loans/","","How to get business funding with no revenue?",158,1,true,false,false
"how-to-get-business-line-of-credit-with-no-revenue","/best/best-business-lines-of-credit/","","How to get business line of credit with no revenue?",153,1,true,false,false
"is-credit-counseling-a-good-idea","/best/best-credit-counseling-agencies/","","Is credit counseling a good idea?",151,1,true,false,false
"what-are-the-best-business-line-of-credit-lenders","/best/best-business-lines-of-credit/","","What are the best business line of credit lenders?",152,1,true,false,false
"what-are-the-best-heavy-equipment-financing","/best/best-equipment-financing/","","What are the best heavy equipment financing?",142,1,true,false,false
"what-does-credit-monitoring-do","/best/best-credit-monitoring-services/","","What does credit monitoring do?",156,1,true,false,false
"what-is-the-easiest-small-business-loan-to-get","/best/best-small-business-loans/","","What is the easiest small business loan to get?",155,0.75,true,false,false
"what-should-you-know-about-business-loan-500-credit-score","/best/best-sba-loans/","","What should you know about business loan 500 credit score?",154,0.75,true,false,false
"what-should-you-know-about-invoice-factoring-fees","/best/best-invoice-factoring/","","What should you know about invoice factoring fees?",147,0.67,true,false,false
"what-should-you-know-about-unsecured-business-loan-bad-credit","/best/best-business-lines-of-credit/","","What should you know about unsecured business loan bad credit?",153,0.5,true,false,false
"is-it-easy-to-get-a-personal-loan","/best/best-personal-loan-lenders/","","Is it easy to get a personal loan?",141,1,true,false,false
"what-are-the-best-invoice-factoring-companies","/best/best-invoice-factoring/","","What are the best invoice factoring companies?",148,0.75,true,false,false
"what-should-you-know-about-business-loan-for-minority-woman","/best/best-small-business-loans/","","What should you know about business loan for minority woman?",154,0.43,true,false,false
"what-should-you-know-about-business-loan-no-personal-credit-check","/best/best-bad-credit-business-loans/","","What should you know about business loan no personal credit check?",150,0.5,true,false,false
"what-should-you-know-about-merchant-cash-advance-no-credit-check","/best/best-merchant-cash-advance/","","What should you know about merchant cash advance no credit check?",157,0.63,true,false,false
"how-to-get-a-business-loan-with-bad-credit-and-no-money","/best/best-bad-credit-business-loans/","","How to get a business loan with bad credit and no money?",149,0.4,true,false,false
"what-should-you-know-about-sba-loan-credit-score-requirements","/best/best-sba-loans/","","What should you know about SBA loan credit score requirements?",156,0.63,true,false,false
"how-does-equipment-leasing-work","/best/best-equipment-financing/","","How does equipment leasing work?",155,0.67,true,false,false
"is-secured-credit-card-a-good-idea","/best/best-secured-credit-cards/","","Is secured credit card a good idea?",153,0.8,true,false,false
"what-should-you-know-about-sba-loan-requirements-for-small-business","/best/best-sba-loans/","","What should you know about SBA loan requirements for small business?",151,0.63,true,false,false
"what-should-you-know-about-merchant-cash-advance-how-it-works","/best/best-bad-credit-business-loans/","","What should you know about merchant cash advance how it works?",146,0.57,true,false,false
"what-should-you-know-about-same-day-business-loans-online","/best/best-merchant-cash-advance/","","What should you know about same day business loans online?",141,0.38,true,false,false
"what-should-you-know-about-unsecured-business-loan-interest-rate","/best/best-business-lines-of-credit/","","What should you know about unsecured business loan interest rate?",134,0.63,true,false,false
"what-should-you-know-about-easy-loans-for-startup-business","/best/best-startup-business-loans/","","What should you know about easy loans for startup business?",143,0.57,true,false,false
"what-should-you-know-about-minority-loans-to-start-a-business","/best/best-small-business-loans/","","What should you know about minority loans to start a business?",156,0.57,true,false,false
"what-loans-can-i-get-with-a-500-credit-score","/best/best-personal-loans-bad-credit/","","What loans can I get with a 500 credit score?",150,1,true,false,false
"how-does-kikoff-credit-builder-loan-work","/best/best-credit-builder-loans/","","How does kikoff credit builder loan work?",159,0.8,true,false,false
"is-secured-credit-card-better-than-unsecured","/best/best-secured-credit-cards/","","Is secured credit card better than unsecured?",144,1,true,false,false
"how-to-get-a-200k-business-loan","/best/best-small-business-loans/","","How to get a 200k business loan?",142,1,true,false,false
"what-should-you-know-about-sba-loan-approval-timeline","/best/best-sba-loans/","","What should you know about SBA loan approval timeline?",154,0.57,true,false,false
"what-should-you-know-about-merchant-cash-advance-example","/best/best-bad-credit-business-loans/","","What should you know about merchant cash advance example?",157,0.57,true,false,false
"where-can-i-get-a-business-loan-with-bad-credit","/best/best-business-lines-of-credit/","","Where can I get a business loan with bad credit?",149,1,true,false,false
"how-do-business-loans-work-for-startups","/best/best-sba-loans/","","How do business loans work for startups?",149,1,true,false,false
"how-much-do-debt-consolidation-companies-charge","/best/best-debt-relief-companies/","","How much do debt consolidation companies charge?",158,0.8,true,false,false
"how-much-down-payment-for-sba-loan","/best/best-sba-loans/","","How much down payment for SBA loan?",153,0.8,true,false,false
"what-are-the-best-sba-loans-for-startups","/best/best-sba-loans/","","What are the best SBA loans for startups?",154,1,true,false,false
"how-much-can-a-small-business-loan-be","/best/best-small-business-loans/","","How much can a small business loan be?",159,0.75,true,false,false
"how-to-get-a-300k-business-loan","/best/best-sba-loans/","","How to get a 300k business loan?",152,0.67,true,false,false
"how-much-debt-consolidation-loan-can-i-get","/best/best-debt-consolidation-loans/","","How much debt consolidation loan can I get?",160,1,true,false,false
"how-to-get-a-large-business-loan-with-no-money","/best/best-sba-loans/","","How to get a large business loan with no money?",153,1,true,false,false
"what-should-you-know-about-business-loan-for-500k","/best/best-sba-loans/","","What should you know about business loan for 500k?",146,0.33,true,false,false
"what-should-you-know-about-equipment-finance-agreement-vs-loan","/best/best-equipment-financing/","","What should you know about equipment finance agreement vs loan?",158,0.57,true,false,false
"what-should-you-know-about-equipment-financing-for-personal-use","/best/best-equipment-financing/","","What should you know about equipment financing for personal use?",157,0.57,true,false,false
"what-should-you-know-about-startup-business-loan-interest-rates","/best/best-startup-business-loans/","","What should you know about startup business loan interest rates?",156,0.63,true,false,false
"will-sba-eidl-loans-be-forgiven","/best/best-sba-loans/","","Will SBA eidl loans be forgiven?",145,0.6,true,false,false
"are-personal-loans-secured","/best/cheapest-personal-loans/","","Are personal loans secured?",158,1,true,false,false
"can-i-get-a-business-loan-with-no-money","/best/best-startup-business-loans/","","Can I get a business loan with no money?",142,1,true,false,false
"can-i-get-a-business-loan-without-a-business","/best/best-small-business-loans/","","Can I get a business loan without a business?",149,0.33,true,false,false
"can-credit-bureau-remove-collections","/best/best-credit-repair-companies/","","Can credit bureau remove collections?",150,0.75,true,false,false
"can-you-get-a-business-loan-without-using-personal-credit","/best/best-bad-credit-business-loans/","","Can you get a business loan without using personal credit?",150,1,true,false,false
"can-you-get-an-sba-loan-for-a-startup","/best/best-startup-business-loans/","","Can you get an SBA loan for a startup?",151,1,true,false,false
"can-you-get-credit-after-bankruptcy","/best/best-credit-builder-loans/","","Can you get credit after bankruptcy?",156,1,true,false,false
"does-consumer-credit-counseling-hurt-your-credit","/best/best-debt-relief-companies/","","Does consumer credit counseling hurt your credit?",152,0.5,true,false,false
"how-do-sba-loans-work-for-startups","/best/best-small-business-loans/","","How do SBA loans work for startups?",155,1,true,false,false
"how-do-credit-counseling-services-work","/best/best-credit-counseling-agencies/","","How do credit counseling services work?",155,0.75,true,false,false
"how-do-credit-repair-services-work","/best/best-credit-repair-veterans/","","How does credit repair services work?",152,1,true,false,false
"how-does-invoice-financing-work","/best/best-invoice-factoring/","","How does invoice financing work?",158,0.67,true,false,false
"how-does-working-capital-loan-work","/best/best-small-business-loans/","","How does working capital loan work?",141,0.75,true,false,false
"how-long-can-you-finance-equipment","/best/best-equipment-financing/","","How long can you finance equipment?",147,1,true,false,false
"how-to-apply-for-a-small-business-loan-grant","/best/best-small-business-loans/","","How to apply for a small business loan grant?",141,1,true,false,false
"how-to-apply-for-business-loan-with-ein","/best/best-sba-loans/","","How to apply for business loan with ein?",158,1,true,false,false
"how-to-build-credit-after-bankruptcy-discharge","/best/best-credit-builder-loans/","","How to build credit after bankruptcy discharge?",149,1,true,false,false
"how-to-get-a-150-000-business-loan","/best/best-small-business-loans/","","How to get a 150 000 business loan?",148,0.5,true,false,false
"how-to-get-a-first-time-small-business-loan","/best/best-small-business-loans/","","How to get a first time small business loan?",158,0.8,true,false,false
"how-to-get-a-small-business-loan-without-collateral","/best/best-small-business-loans/","","How to get a small business loan without collateral?",156,0.6,true,false,false
"how-to-sell-merchant-cash-advance","/best/best-merchant-cash-advance/","","How to sell merchant cash advance?",147,0.75,true,false,false
"how-to-start-a-merchant-cash-advance-business","/best/best-merchant-cash-advance/","","How to start a merchant cash advance business?",156,1,true,false,false
"is-a-consolidation-loan-better-than-credit-card-debt","/best/best-debt-consolidation-loans/","","Is a consolidation loan better than credit card debt?",156,0.71,true,false,false
"is-a-credit-builder-loan-a-good-idea","/best/best-credit-builder-loans/","","Is a credit builder loan a good idea?",144,1,true,false,false
"is-a-personal-loan-better-than-credit-card","/best/cheapest-personal-loans/","","Is a personal loan better than credit card?",155,0.67,true,false,false
"is-a-small-business-loan-secured","/best/best-small-business-loans/","","Is a small business loan secured?",152,1,true,false,false
"is-it-hard-to-get-a-business-line-of-credit","/best/best-merchant-cash-advance/","","Is it hard to get a business line of credit?",149,0.75,true,false,false
"what-are-the-best-invoice-financing-companies","/best/best-invoice-factoring/","","What are the best invoice financing companies?",151,0.75,true,false,false
"what-credit-score-is-needed-for-debt-consolidation-loan","/best/best-debt-consolidation-loans/","","What credit score is needed for debt consolidation loan?",148,1,true,false,false
"what-is-the-easiest-sba-loan-to-get","/best/best-sba-loans/","","What is the easiest SBA loan to get?",154,0.33,true,false,false
"what-secured-credit-cards-graduate-to-unsecured","/best/best-secured-credit-cards/","","What secured credit cards graduate to unsecured?",159,1,true,false,false
"what-should-you-know-about-sba-7a-loan-application-form","/best/best-sba-loans/","","What should you know about SBA 7a loan application form?",146,0.86,true,false,false
"what-should-you-know-about-sba-loan-income-requirements","/best/best-sba-loans/","","What should you know about SBA loan income requirements?",146,0.71,true,false,false
"what-should-you-know-about-first-time-business-loan-requirements","/best/best-small-business-loans/","","What should you know about first time business loan requirements?",147,0.63,true,false,false
"what-should-you-know-about-invoice-factoring-explained","/best/best-invoice-factoring/","","What should you know about invoice factoring explained?",155,0.5,true,false,false
"what-should-you-know-about-merchant-cash-advance-explained","/best/best-merchant-cash-advance/","","What should you know about merchant cash advance explained?",152,0.43,true,false,false
"what-should-you-know-about-merchant-cash-advance-interest-rates","/best/best-merchant-cash-advance/","","What should you know about merchant cash advance interest rates?",150,0.5,true,false,false
"where-can-i-get-a-personal-loan-without-credit-check","/best/best-personal-loan-lenders/","","Where can I get a personal loan without credit check?",148,0.5,true,false,false
"where-can-i-get-funding-for-my-business","/best/best-startup-business-loans/","","Where can I get funding for my business?",157,0.67,true,false,false
"are-business-loans-cheaper-than-personal-loans","/best/best-small-business-loans/","","Are business loans cheaper than personal loans?",155,0.8,true,false,false
"are-credit-builder-loans-good","/best/best-credit-builder-loans/","","Are credit builder loans good?",156,1,true,false,false
"are-credit-monitoring-services-safe","/best/best-credit-monitoring-services/","","Are credit monitoring services safe?",158,1,true,false,false
"are-personal-loans-instant","/best/cheapest-personal-loans/","","Are personal loans instant?",151,1,true,false,false
"can-i-dispute-credit-report-online","/best/best-credit-repair-companies/","","Can I dispute credit report online?",152,1,true,false,false
"can-i-get-a-100k-business-loan","/best/best-small-business-loans/","","Can I get a 100k business loan?",149,0.67,true,false,false
"can-i-get-a-personal-loan-with-580-credit-score","/best/best-bad-credit-business-loans/","","Can I get a personal loan with 580 credit score?",151,1,true,false,false
"can-i-get-credit-after-bankruptcy","/best/best-credit-builder-loans/","","Can I get credit after bankruptcy?",151,1,true,false,false
"can-i-get-personal-loan-with-low-cibil-score","/best/cheapest-personal-loans/","","Can I get personal loan with low cibil score?",152,1,true,false,false
"can-credit-repair-companies-remove-bankruptcies","/best/best-credit-repair-money-back-guarantee/","","Can credit repair companies remove bankruptcies?",159,1,true,false,false
"can-small-business-loans-be-forgiven","/best/best-sba-loans/","","Can small business loans be forgiven?",154,1,true,false,false
"can-you-get-a-business-loan-for-a-car","/best/best-small-business-loans/","","Can you get a business loan for a car?",159,1,true,false,false
"can-you-get-a-loan-for-a-farm","/best/best-small-business-loans/","","Can you get a loan for a farm?",149,1,true,false,false
"can-you-get-a-loan-for-medical-bills","/best/best-personal-loans-bad-credit/","","Can you get a loan for medical bills?",147,1,true,false,false
"can-you-get-a-loan-if-your-self-employed","/best/best-personal-loan-lenders/","","Can you get a loan if your self employed?",150,0.33,true,false,false
"do-i-need-a-credit-repair-company","/best/best-credit-repair-companies/","","Do I need a credit repair company?",144,0.75,true,false,false
"does-a-sba-loan-affect-your-credit","/best/best-sba-loans/","","Does a SBA loan affect your credit?",149,0.75,true,false,false
"does-a-joint-account-affect-my-credit","/best/best-credit-repair-companies/","","Does a joint account affect my credit?",151,0.75,true,false,false
"does-amazon-do-loans","/best/best-small-business-loans/","","Does amazon do loans?",152,1,true,false,false
"does-business-line-of-credit-affect-credit-score","/best/best-small-business-loans/","","Does business line of credit affect credit score?",159,1,true,false,false
"does-business-line-of-credit-show-on-credit-report","/best/best-small-business-loans/","","Does business line of credit show on credit report?",148,0.8,true,false,false
"does-debt-settlement-ruin-your-credit","/best/best-debt-relief-companies/","","Does debt settlement ruin your credit?",156,0.75,true,false,false
"does-getting-a-business-loan-affect-personal-credit","/best/best-bad-credit-business-loans/","","Does getting a business loan affect personal credit?",149,1,true,false,false
"does-personal-loan-affect-cibil-score","/best/cheapest-personal-loans/","","Does personal loan affect cibil score?",152,0.8,true,false,false
"how-big-are-small-business-loans","/best/best-small-business-loans/","","How big are small business loans?",155,0.5,true,false,false
"how-build-credit-after-bankruptcy","/best/best-credit-builder-loans/","","How build credit after bankruptcy?",158,1,true,false,false
"how-can-i-get-a-sba-loan-without-collateral","/best/best-business-lines-of-credit/","","How can I get a SBA loan without collateral?",158,1,true,false,false
"how-can-my-business-offer-financing","/best/best-startup-business-loans/","","How can my business offer financing?",158,1,true,false,false
"how-do-credit-counseling-agencies-work","/best/best-credit-counseling-agencies/","","How do credit counseling agencies work?",152,1,true,false,false
"how-do-small-businesses-get-funding","/best/best-small-business-loans/","","How do small businesses get funding?",149,1,true,false,false
"how-does-sba-disaster-loan-work","/best/best-sba-loans/","","How does SBA disaster loan work?",157,1,true,false,false
"how-does-credit-monitoring-work","/best/best-credit-monitoring-services/","","How does credit monitoring work?",156,0.67,true,false,false
"how-does-invoice-discounting-facility-work","/best/best-invoice-factoring/","","How does invoice discounting facility work?",153,0.75,true,false,false
"how-fast-does-a-credit-builder-loan-work","/best/best-credit-builder-loans/","","How fast does a credit builder loan work?",141,0.6,true,false,false
"how-long-before-foreclosure-is-removed-from-credit-report","/best/best-credit-repair-companies/","","How long before foreclosure is removed from credit report?",154,0.57,true,false,false
"how-long-does-a-personal-loan-take-to-go-through","/best/cheapest-personal-loans/","","How long does a personal loan take to go through?",153,0.6,true,false,false
"how-much-does-invoice-discounting-cost","/best/best-invoice-factoring/","","How much does invoice discounting cost?",153,0.75,true,false,false
"how-much-line-of-credit-should-a-business-have","/best/best-business-lines-of-credit/","","How much line of credit should a business have?",144,0.5,true,false,false
"how-much-will-credit-score-increase-after-foreclosure-is-removed","/best/best-credit-builder-loans/","","How much will credit score increase after foreclosure is removed?",152,0.88,true,false,false
"how-much-would-a-100-000-business-loan-cost","/best/best-small-business-loans/","","How much would a 100 000 business loan cost?",154,0.43,true,false,false
"how-to-apply-for-business-loan-from-government","/best/best-sba-loans/","","How to apply for business loan from government?",158,0.8,true,false,false
"how-to-become-a-merchant-cash-advance-broker","/best/best-merchant-cash-advance/","","How to become a merchant cash advance broker?",155,1,true,false,false
"how-to-borrow-money-for-business-startup","/best/best-startup-business-loans/","","How to borrow money for business startup?",156,1,true,false,false
"how-to-get-a-business-loan-for-equipment","/best/best-equipment-financing/","","How to get a business loan for equipment?",148,1,true,false,false
"how-to-get-a-startup-business-loan-without-collateral","/best/best-startup-business-loans/","","How to get a startup business loan without collateral?",157,1,true,false,false
"how-to-qualify-for-sba-loan-forgiveness","/best/best-sba-loans/","","How to qualify for SBA loan forgiveness?",156,0.75,true,false,false
"how-to-start-a-merchant-cash-advance-company","/best/best-merchant-cash-advance/","","How to start a merchant cash advance company?",154,1,true,false,false
"is-a-merchant-cash-advance-a-loan","/best/best-merchant-cash-advance/","","Is a merchant cash advance a loan?",151,1,true,false,false
"is-business-line-of-credit-interest-tax-deductible","/best/best-business-lines-of-credit/","","Is business line of credit interest tax deductible?",152,1,true,false,false
"is-credit-repair-business-profitable","/best/best-credit-repair-companies/","","Is credit repair business profitable?",152,1,true,false,false
"is-debt-settlement-good-or-bad","/best/best-debt-relief-companies/","","Is debt settlement good or bad?",151,1,true,false,false
"is-invoice-discounting-safe","/best/best-invoice-factoring/","","Is invoice discounting safe?",155,1,true,false,false
"is-invoice-factoring-a-good-idea","/best/best-invoice-factoring/","","Is invoice factoring a good idea?",154,1,true,false,false
"is-invoice-financing-a-good-idea","/best/best-invoice-factoring/","","Is invoice financing a good idea?",147,1,true,false,false
"is-it-a-good-time-to-get-a-personal-loan","/best/cheapest-personal-loans/","","Is it a good time to get a personal loan?",151,1,true,false,false
"should-i-get-a-business-loan-to-start-a-business","/best/best-startup-business-loans/","","Should I get a business loan to start a business?",154,0.5,true,false,false
"should-i-pay-for-credit-monitoring","/best/best-credit-monitoring-services/","","Should I pay for credit monitoring?",150,0.5,true,false,false
"should-i-pay-off-my-business-loan-early","/best/best-small-business-loans/","","Should I pay off my business loan early?",156,0.67,true,false,false
"what-are-the-best-business-cash-advance","/best/best-merchant-cash-advance/","","What are the best business cash advance?",151,1,true,false,false
"what-are-the-best-business-line-of-credit-for-bad-credit","/best/best-business-lines-of-credit/","","What are the best business line of credit for bad credit?",153,0.8,true,false,false
"what-are-the-best-business-line-of-credit-offers","/best/best-business-lines-of-credit/","","What are the best business line of credit offers?",145,1,true,false,false
"what-are-the-best-business-line-of-credit-options","/best/best-business-lines-of-credit/","","What are the best business line of credit options?",156,1,true,false,false
"what-are-the-best-business-loans-for-minorities","/best/best-small-business-loans/","","What are the best business loans for minorities?",147,1,true,false,false
"what-are-the-best-equipment-financing-rates","/best/best-equipment-financing/","","What are the best equipment financing rates?",148,1,true,false,false
"what-are-the-best-invoice-factoring-software","/best/best-invoice-factoring/","","What are the best invoice factoring software?",157,1,true,false,false
"what-are-the-best-small-business-loans-no-personal-guarantee","/best/best-personal-loan-lenders/","","What are the best small business loans no personal guarantee?",153,1,true,false,false
"what-are-the-top-sba-loan-banks","/best/best-sba-loans/","","What are the top SBA loan banks?",156,1,true,false,false
"what-are-the-top-merchant-cash-advance","/best/best-merchant-cash-advance/","","What are the top merchant cash advance?",150,1,true,false,false
"what-can-a-business-line-of-credit-be-used-for","/best/best-small-business-loans/","","What can a business line of credit be used for?",157,1,true,false,false
"what-credit-score-you-need-to-get-a-business-loan","/best/best-bad-credit-business-loans/","","What credit score do you need to get a business loan?",147,0.8,true,false,false
"what-does-invoice-factoring-cost","/best/best-invoice-factoring/","","What does invoice factoring cost?",155,0.67,true,false,false
"what-does-invoice-factoring-mean","/best/best-invoice-factoring/","","What does invoice factoring mean?",153,0.67,true,false,false
"what-is-credit-repair-business","/best/best-credit-repair-companies/","","What is credit repair business?",153,1,true,false,false
"what-is-debt-consolidation-loan-meaning","/best/best-debt-consolidation-loans/","","What is debt consolidation loan meaning?",153,0.75,true,false,false
"what-is-equipment-financing-loan","/best/best-equipment-financing/","","What is equipment financing loan?",158,1,true,false,false
"what-is-minimum-credit-score-for-personal-loan","/best/cheapest-personal-loans/","","What is minimum credit score for personal loan?",148,1,true,false,false
"what-is-small-business-financing","/best/best-small-business-loans/","","What is small business financing?",158,1,true,false,false
"what-should-you-know-about-10000-business-loan-bad-credit","/best/best-small-business-loans/","","What should you know about 10000 business loan bad credit?",154,0.5,true,false,false
"what-should-you-know-about-sba-7a-loan-approval-time","/best/best-sba-loans/","","What should you know about SBA 7a loan approval time?",139,0.71,true,false,false
"what-should-you-know-about-sba-loan-size-requirements","/best/best-sba-loans/","","What should you know about SBA loan size requirements?",158,0.57,true,false,false
"what-should-you-know-about-banks-that-do-equipment-financing","/best/best-equipment-financing/","","What should you know about banks that do equipment financing?",148,0.57,true,false,false
"what-should-you-know-about-better-business-bureau-loans-for-bad-credit","/best/best-sba-loans/","","What should you know about better business bureau loans for bad credit?",150,0.67,true,false,false
"what-should-you-know-about-business-financing-for-veterans","/best/best-small-business-loans/","","What should you know about business financing for veterans?",142,0.67,true,false,false
"what-should-you-know-about-business-line-of-credit-good-or-bad","/best/best-business-lines-of-credit/","","What should you know about business line of credit good or bad?",144,0.63,true,false,false
"what-should-you-know-about-business-loan-for-building-construction","/best/best-sba-loans/","","What should you know about business loan for building construction?",154,0.71,true,false,false
"what-should-you-know-about-commercial-loan-for-restaurant","/best/best-small-business-loans/","","What should you know about commercial loan for restaurant?",153,0.5,true,false,false
"what-should-you-know-about-equipment-financing-debt","/best/best-equipment-financing/","","What should you know about equipment financing debt?",158,0.5,true,false,false
"what-should-you-know-about-franchise-loan-interest-rates","/best/best-small-business-loans/","","What should you know about franchise loan interest rates?",157,0.57,true,false,false
"what-should-you-know-about-invoice-factoring-banks","/best/best-invoice-factoring/","","What should you know about invoice factoring banks?",157,0.5,true,false,false
"what-should-you-know-about-invoice-factoring-guide","/best/best-invoice-factoring/","","What should you know about invoice factoring guide?",158,0.5,true,false,false
"what-should-you-know-about-invoice-finance-for-new-business","/best/best-invoice-factoring/","","What should you know about invoice finance for new business?",150,0.57,true,false,false
"what-should-you-know-about-merchant-cash-advance-application-template","/best/best-merchant-cash-advance/","","What should you know about merchant cash advance application template?",151,0.63,true,false,false
"what-should-you-know-about-quick-business-cash-advance","/best/best-merchant-cash-advance/","","What should you know about quick business cash advance?",144,0.43,true,false,false
"what-should-you-know-about-quick-business-cash-loan","/best/best-merchant-cash-advance/","","What should you know about quick business cash loan?",147,0.57,true,false,false
"what-should-you-know-about-startup-business-loan-no-collateral","/best/best-startup-business-loans/","","What should you know about startup business loan no collateral?",149,0.29,true,false,false
"what-should-you-know-about-startup-business-loan-bad-credit-no-revenue","/best/best-startup-business-loans/","","What should you know about startup business loan bad credit no revenue?",153,0.56,true,false,false
"what-should-you-know-about-unsecured-business-loan-calculator","/best/best-business-lines-of-credit/","","What should you know about unsecured business loan calculator?",146,0.57,true,false,false
"what-should-you-know-about-unsecured-business-loan-instant-approval","/best/best-business-lines-of-credit/","","What should you know about unsecured business loan instant approval?",156,0.88,true,false,false
"what-should-you-know-about-used-equipment-loan-for-startup-business","/best/best-equipment-financing/","","What should you know about used equipment loan for startup business?",145,0.38,true,false,false
"when-should-i-get-a-personal-loan","/best/best-personal-loan-lenders/","","When should I get a personal loan?",158,0.5,true,false,false
"where-can-small-businesses-get-funding","/best/best-small-business-loans/","","Where can small businesses get funding?",149,1,true,false,false
"which-banks-offer-unsecured-business-loans","/best/best-business-lines-of-credit/","","Which banks offer unsecured business loans?",147,1,true,false,false
"will-joint-account-hurt-my-credit","/best/best-credit-repair-companies/","","Will joint account hurt my credit?",155,0.8,true,false,false
"are-collections-on-credit-report","/best/best-credit-repair-companies/","","Are collections on credit report?",144,1,true,false,false
"are-collections-on-your-credit-report","/best/best-credit-repair-companies/","","Are collections on your credit report?",153,0.67,true,false,false
"are-credit-builder-loans-bad","/best/best-credit-builder-loans/","","Are credit builder loans bad?",157,1,true,false,false
"are-credit-builder-loans-legit","/best/best-credit-builder-loans/","","Are credit builder loans legit?",155,0.75,true,false,false
"are-credit-card-balance-transfers-bad","/best/best-secured-credit-cards/","","Are credit card balance transfers bad?",157,0.8,true,false,false
"are-credit-card-balance-transfers-worth-it","/best/best-secured-credit-cards/","","Are credit card balance transfers worth it?",150,0.4,true,false,false
"are-credit-repair-companies-good","/best/best-credit-repair-companies/","","Are credit repair companies good?",153,1,true,false,false
"are-credit-repair-services-scams","/best/best-credit-repair-companies/","","Are credit repair services scams?",153,1,true,false,false
"are-debt-consolidation-loans-legit","/best/best-debt-consolidation-loans/","","Are debt consolidation loans legit?",154,1,true,false,false
